rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		11							",https://boardgamegeek.com/boardgame/31260/agricola,31260,1,5,150,30,150,2007,8.06075,7.97112,47754,//cf.geekdo-images.com/images/pic259085.jpg,12,Card Drafting* Hand Management* Variable Phase Order* Variable Player Powers* Worker Placement,57407,Animals* Economic* Farming,3.631
"		12							",https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,115746,2,4,180,150,180,2012,8.38386,7.95322,6127,//cf.geekdo-images.com/images/pic1215633.jpg,13,Area Control / Area Influence* Area Movement* Campaign / Battle Card Driven* Dice Rolling* Hand Management,9861,Adventure* Dice* Fantasy* Miniatures* Novel-based* Territory Building,3.9896
"		16							",https://boardgamegeek.com/boardgame/167791/terraforming-mars,167791,1,5,120,90,120,2016,8.36395,7.94406,6506,//cf.geekdo-images.com/images/pic2891964.jpg,12,Card Drafting* Hand Management* Tile Placement* Variable Player Powers,7436,Economic* Environmental* Industry / Manufacturing* Science Fiction* Territory Building,3.2618
"		13							",https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,96848,1,4,150,150,150,2011,8.13733,7.94315,17839,//cf.geekdo-images.com/images/pic1083380.jpg,14,Card Drafting* Co-operative Play* Deck / Pool Building* Dice Rolling* Grid Movement* Hand Management* Modular Board* Role Playing* Tile Placement* Variable Player Powers,26567,Adventure* Exploration* Fantasy* Fighting,4.1999
"		14							",https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization,25613,2,4,240,240,240,2006,8.09752,7.93692,15273,//cf.geekdo-images.com/images/pic236169.jpg,12,Action Point Allowance System* Auction/Bidding* Card Drafting* Hand Management,15763,City Building* Civilization* Economic,4.1699
"		15							",https://boardgamegeek.com/boardgame/170216/blood-rage,170216,2,4,90,60,90,2015,8.17101,7.93076,12570,//cf.geekdo-images.com/images/pic2439223.jpg,14,Action Point Allowance System* Area Control / Area Influence* Area Movement* Card Drafting* Hand Management* Memory* Simultaneous Action Selection,16852,Fantasy* Fighting* Miniatures* Mythology,2.8963
"		21							",https://boardgamegeek.com/boardgame/174430/gloomhaven,174430,1,4,150,90,150,2017,9.23599,7.93041,2481,//cf.geekdo-images.com/images/pic2437871.jpg,12,Co-operative Play* Grid Movement* Hand Management* Modular Board* Simultaneous Action Selection* Variable Player Powers,4125,Adventure* Economic* Exploration* Fantasy* Fighting,3.7151
"		17							",https://boardgamegeek.com/boardgame/164153/star-wars-imperial-assault,164153,2,5,120,60,120,2014,8.21725,7.9101,10700,//cf.geekdo-images.com/images/pic2247647.jpg,14,Dice Rolling* Grid Movement* Modular Board* Partnerships* Role Playing* Variable Player Powers,18945,Adventure* Fighting* Miniatures* Movies / TV / Radio theme* Science Fiction* Wargame,3.2685
"		18							",https://boardgamegeek.com/boardgame/2651/power-grid,2651,2,6,120,120,120,2004,7.9483,7.86956,41639,//cf.geekdo-images.com/images/pic173153.jpg,12,Auction/Bidding* Route/Network Building,47478,Economic* Industry / Manufacturing,3.2875
"		19							",https://boardgamegeek.com/boardgame/72125/eclipse,72125,2,6,200,60,200,2011,8.01744,7.86413,20026,//cf.geekdo-images.com/images/pic1974056.jpg,14,Area Control / Area Influence* Dice Rolling* Grid Movement* Modular Board* Player Elimination* Tile Placement* Variable Phase Order* Variable Player Powers,22014,Civilization* Fighting* Science Fiction* Space Exploration* Wargame,3.6778
